"owner","name","url","page","npm","version","stars","downloads","install","added"
"00080000","dsh-project-memory","https://github.com/00080000/dsh-project-memory","https://awesome-dsh-plugin.com/p/00080000/dsh-project-memory/","@yolk_vat-y/dsh-project-memory","0.5.5","14","2508","dsh plugin --profile web add @yolk_vat-y/dsh-project-memory","2026-08-20"
"1014029855","dsh-codevault","https://github.com/1014029855/dsh-codevault","https://awesome-dsh-plugin.com/p/1014029855/dsh-codevault/",,,"2",,"dsh plugin --profile web add ""https://github.com/1014029855/dsh-codevault/releases/latest/download/dsh-codevault.tgz""","2026-09-08"
"398894496-arch","runtime36","https://github.com/398894496-arch/runtime36","https://awesome-dsh-plugin.com/p/398894496-arch/runtime36/",,,"39",,"dsh plugin --profile web add github:398894496-arch/runtime36","2026-08-23"
"863683348","dsh-memory-setup","https://github.com/863683348/dsh-memory-setup","https://awesome-dsh-plugin.com/p/863683348/dsh-memory-setup/",,,"1",,"dsh plugin --profile web add github:863683348/dsh-memory-setup","2026-08-19"
"863683348","dsh-plugin-focus","https://github.com/863683348/dsh-plugin-focus","https://awesome-dsh-plugin.com/p/863683348/dsh-plugin-focus/","dsh-plugin-focus","1.1.1","1","785","dsh plugin --profile web add dsh-plugin-focus","2026-08-16"
"988hj7tczd-oss","harness-desktop#plugins/harness-memory","https://github.com/988hj7tczd-oss/harness-desktop/tree/main/plugins/harness-memory","https://awesome-dsh-plugin.com/p/988hj7tczd-oss/harness-desktop--plugins-harness-memory/",,,"4",,"dsh plugin --profile web add github:988hj7tczd-oss/harness-desktop#path:/plugins/harness-memory","2026-08-23"
"adoresever","graph-memory","https://github.com/adoresever/graph-memory","https://awesome-dsh-plugin.com/p/adoresever/graph-memory/",,,"621",,"dsh plugin --profile web add github:adoresever/graph-memory","2026-08-26"
"aerince","dsh-active-context-pruning","https://github.com/aerince/dsh-active-context-pruning","https://awesome-dsh-plugin.com/p/aerince/dsh-active-context-pruning/",,,"1",,"dsh plugin --profile web add github:aerince/dsh-active-context-pruning","2026-08-15"
"agentscope-ai","ReMe#dsh","https://github.com/agentscope-ai/ReMe/tree/main/integrations/dsh","https://awesome-dsh-plugin.com/p/agentscope-ai/ReMe--integrations-dsh/","@agentscope-ai/reme-dsh-plugin","0.1.0","3458","0","dsh plugin --profile web add @agentscope-ai/reme-dsh-plugin","2026-08-27"
"ai-fu-cn","dsh-plugin-memos-code-retrospect","https://github.com/ai-fu-cn/dsh-plugin-memos-code-retrospect","https://awesome-dsh-plugin.com/p/ai-fu-cn/dsh-plugin-memos-code-retrospect/",,,"1",,"dsh plugin --profile web add github:ai-fu-cn/dsh-plugin-memos-code-retrospect","2026-09-03"
"Aik358","dsh-auto-memory","https://github.com/Aik358/dsh-auto-memory","https://awesome-dsh-plugin.com/p/Aik358/dsh-auto-memory/","@a9i5k4/dsh-auto-memory","2.5.3","67","10900","dsh plugin --profile web add @a9i5k4/dsh-auto-memory","2026-08-15"
"akslcw","dsh-negative-ledger","https://github.com/akslcw/dsh-negative-ledger","https://awesome-dsh-plugin.com/p/akslcw/dsh-negative-ledger/","@akslcw/dsh-negative-ledger","0.1.2","3","1268","dsh plugin --profile web add @akslcw/dsh-negative-ledger","2026-08-15"
"AndyYang12345","dsh-butler-memory","https://github.com/AndyYang12345/dsh-butler-memory","https://awesome-dsh-plugin.com/p/AndyYang12345/dsh-butler-memory/","dsh-butler-memory","0.1.5","0","1200","dsh plugin --profile web add dsh-butler-memory","2026-08-18"
"aqsk-BLG","dsh-memory","https://github.com/aqsk-BLG/dsh-memory","https://awesome-dsh-plugin.com/p/aqsk-BLG/dsh-memory/","dsh-file-memory","1.3.2","2","745","dsh plugin --profile web add dsh-file-memory","2026-08-19"
"Asher-2000","dsh-memory-connect","https://github.com/Asher-2000/dsh-memory-connect","https://awesome-dsh-plugin.com/p/Asher-2000/dsh-memory-connect/",,,"7",,"dsh plugin --profile web add github:Asher-2000/dsh-memory-connect","2026-08-20"
"AtinyFurina","dsh-memory-triage","https://github.com/AtinyFurina/dsh-memory-triage","https://awesome-dsh-plugin.com/p/AtinyFurina/dsh-memory-triage/","dsh-memory-triage","0.1.0","1","261","dsh plugin --profile web add dsh-memory-triage","2026-09-15"
"baaai123","dsh-memory-protocol","https://github.com/baaai123/dsh-memory-protocol","https://awesome-dsh-plugin.com/p/baaai123/dsh-memory-protocol/",,,"2",,"dsh plugin --profile web add github:baaai123/dsh-memory-protocol","2026-08-15"
"bbqisbbq","dsh-tiddlywiki","https://github.com/bbqisbbq/dsh-tiddlywiki","https://awesome-dsh-plugin.com/p/bbqisbbq/dsh-tiddlywiki/","dsh-tiddlywiki","0.22.8","2","7757","dsh plugin --profile web add dsh-tiddlywiki","2026-09-03"
"boogoo619","dsh-noteboard","https://github.com/boogoo619/dsh-noteboard","https://awesome-dsh-plugin.com/p/boogoo619/dsh-noteboard/","dsh-noteboard","0.2.1","1","225","dsh plugin --profile web add dsh-noteboard","2026-09-10"
"busabase","busabase-dsh-plugin","https://github.com/busabase/busabase-dsh-plugin","https://awesome-dsh-plugin.com/p/busabase/busabase-dsh-plugin/","@busabase/dsh-plugin","0.1.8","5","686","dsh plugin --profile web add @busabase/dsh-plugin","2026-09-07"
"CDeZT","better-basicfun","https://github.com/CDeZT/better-basicfun","https://awesome-dsh-plugin.com/p/CDeZT/better-basicfun/",,,"0",,"dsh plugin --profile web add github:CDeZT/better-basicfun","2026-09-03"
"CeilCelia","dsh-eli-mode#packages/eli-mode","https://github.com/CeilCelia/dsh-eli-mode/tree/main/packages/eli-mode","https://awesome-dsh-plugin.com/p/CeilCelia/dsh-eli-mode--packages-eli-mode/","dsh-eli-mode","0.1.11","6","2448","dsh plugin --profile web add dsh-eli-mode","2026-08-15"
"chenzheshushi-commits","dsh-evolve","https://github.com/chenzheshushi-commits/dsh-evolve","https://awesome-dsh-plugin.com/p/chenzheshushi-commits/dsh-evolve/",,,"8",,"dsh plugin --profile web add ""https://github.com/chenzheshushi-commits/dsh-evolve/releases/latest/download/dsh-evolve.tgz""","2026-08-24"
"Co-Engram","Co-Engram#dsh-plugin","https://github.com/Co-Engram/Co-Engram/tree/main/packages/dsh-plugin","https://awesome-dsh-plugin.com/p/Co-Engram/Co-Engram--packages-dsh-plugin/","@co-engram/dsh","0.6.0","12","1519","dsh plugin --profile web add @co-engram/dsh","2026-08-16"
"DamonKoy","dsh-plugins#dsh-memories","https://github.com/DamonKoy/dsh-plugins/tree/main/packages/dsh-memories","https://awesome-dsh-plugin.com/p/DamonKoy/dsh-plugins--packages-dsh-memories/",,,"1",,"dsh plugin --profile web add github:DamonKoy/dsh-plugins#path:/packages/dsh-memories","2026-08-17"
"Dayi-Z","dsh-learn-wiki","https://github.com/Dayi-Z/dsh-learn-wiki","https://awesome-dsh-plugin.com/p/Dayi-Z/dsh-learn-wiki/",,,"1",,"dsh plugin --profile web add github:Dayi-Z/dsh-learn-wiki","2026-08-29"
"dearbld","dsh-living-memory","https://github.com/dearbld/dsh-living-memory","https://awesome-dsh-plugin.com/p/dearbld/dsh-living-memory/","dsh-living-memory","0.2.4","1","1148","dsh plugin --profile web add dsh-living-memory","2026-09-06"
"dennisrongo","dsh-plugins#dsh-memory","https://github.com/dennisrongo/dsh-plugins/tree/main/plugins/dsh-memory","https://awesome-dsh-plugin.com/p/dennisrongo/dsh-plugins--plugins-dsh-memory/","@dennisrongo/dsh-memory","0.1.2","0","503","dsh plugin --profile web add @dennisrongo/dsh-memory","2026-09-04"
"detongz","dsh-client-ui-obsidian-memory","https://github.com/detongz/dsh-client-ui-obsidian-memory","https://awesome-dsh-plugin.com/p/detongz/dsh-client-ui-obsidian-memory/","dsh-client-ui-obsidian-memory","0.3.2","15","2308","dsh plugin --profile web add dsh-client-ui-obsidian-memory","2026-08-18"
"diqierjia","StrataGate-AgentMemory","https://github.com/diqierjia/StrataGate-AgentMemory","https://awesome-dsh-plugin.com/p/diqierjia/StrataGate-AgentMemory/","stratagate-dsh","0.2.70","77","5842","dsh plugin --profile web add stratagate-dsh","2026-09-04"
"EternalNight996","dsh-memory-eternal","https://github.com/EternalNight996/dsh-memory-eternal","https://awesome-dsh-plugin.com/p/EternalNight996/dsh-memory-eternal/","dsh-memory-eternal","0.7.0","8","15226","dsh plugin --profile web add dsh-memory-eternal","2026-09-12"
"EternalNight996","memory-eternal","https://github.com/EternalNight996/memory-eternal","https://awesome-dsh-plugin.com/p/EternalNight996/memory-eternal/","memory-eternal","0.9.3","5","1066","dsh plugin --profile web add memory-eternal","2026-09-09"
"fjzzwxp","dsh-mnemosyne-memory","https://github.com/fjzzwxp/dsh-mnemosyne-memory","https://awesome-dsh-plugin.com/p/fjzzwxp/dsh-mnemosyne-memory/",,,"1",,"dsh plugin --profile web add github:fjzzwxp/dsh-mnemosyne-memory","2026-08-29"
"FleetingEcho","dsh-handoff","https://github.com/FleetingEcho/dsh-handoff","https://awesome-dsh-plugin.com/p/FleetingEcho/dsh-handoff/",,,"2",,"dsh plugin --profile web add github:FleetingEcho/dsh-handoff","2026-08-15"
"flymysql","dsh-memory","https://github.com/flymysql/dsh-memory","https://awesome-dsh-plugin.com/p/flymysql/dsh-memory/","dsh-memory-vault","0.1.5","6","1314","dsh plugin --profile web add dsh-memory-vault","2026-08-14"
"Frank-NF","dsh-memory-nexus","https://github.com/Frank-NF/dsh-memory-nexus","https://awesome-dsh-plugin.com/p/Frank-NF/dsh-memory-nexus/",,,"0",,"dsh plugin --profile web add github:Frank-NF/dsh-memory-nexus","2026-09-09"
"freehul","sgme","https://github.com/freehul/sgme","https://awesome-dsh-plugin.com/p/freehul/sgme/",,,"14",,"dsh plugin --profile web add github:freehul/sgme","2026-08-14"
"Frog755","dsh-hybrid-memory","https://github.com/Frog755/dsh-hybrid-memory","https://awesome-dsh-plugin.com/p/Frog755/dsh-hybrid-memory/",,,"1",,"dsh plugin --profile web add github:Frog755/dsh-hybrid-memory","2026-08-28"
"gezi-wen","sage-mem","https://github.com/gezi-wen/sage-mem","https://awesome-dsh-plugin.com/p/gezi-wen/sage-mem/","sage-mem","0.5.1","6","1004","dsh plugin --profile web add sage-mem","2026-08-17"
"GIT121995","dsh-memory-gate","https://github.com/GIT121995/dsh-memory-gate","https://awesome-dsh-plugin.com/p/GIT121995/dsh-memory-gate/","dsh-memory-gate","0.12.0","2","2779","dsh plugin --profile web add dsh-memory-gate","2026-08-14"
"giter00","dsh-headroom","https://github.com/giter00/dsh-headroom","https://awesome-dsh-plugin.com/p/giter00/dsh-headroom/",,,"10",,"dsh plugin --profile web add github:giter00/dsh-headroom","2026-08-18"
"GodCC6","dsh-claude-memory","https://github.com/GodCC6/dsh-claude-memory","https://awesome-dsh-plugin.com/p/GodCC6/dsh-claude-memory/","dsh-claude-memory","0.1.0","0","143","dsh plugin --profile web add dsh-claude-memory","2026-09-13"
"greyoak111","siyuan-codex-bridge","https://github.com/greyoak111/siyuan-codex-bridge","https://awesome-dsh-plugin.com/p/greyoak111/siyuan-codex-bridge/","dsh-siyuan-notes","0.1.9","0","0","dsh plugin --profile web add dsh-siyuan-notes","2026-09-11"
"guo6x","dsh-palate","https://github.com/guo6x/dsh-palate","https://awesome-dsh-plugin.com/p/guo6x/dsh-palate/",,,"3",,"dsh plugin --profile web add github:guo6x/dsh-palate","2026-08-27"
"hellosky983","dsh-qrcode","https://github.com/hellosky983/dsh-qrcode","https://awesome-dsh-plugin.com/p/hellosky983/dsh-qrcode/",,,"2",,"dsh plugin --profile web add github:hellosky983/dsh-qrcode","2026-08-15"
"hellosky983","dsh-skillradar","https://github.com/hellosky983/dsh-skillradar","https://awesome-dsh-plugin.com/p/hellosky983/dsh-skillradar/",,,"2",,"dsh plugin --profile web add github:hellosky983/dsh-skillradar","2026-08-15"
"HERO476","dsh-instruction-memory","https://github.com/HERO476/dsh-instruction-memory","https://awesome-dsh-plugin.com/p/HERO476/dsh-instruction-memory/","dsh-instruction-memory","1.0.6","0","268","dsh plugin --profile web add dsh-instruction-memory","2026-09-13"
"highland0971","dsh-native-memory","https://github.com/highland0971/dsh-native-memory","https://awesome-dsh-plugin.com/p/highland0971/dsh-native-memory/","dsh-native-memory","0.2.0","2","1454","dsh plugin --profile web add dsh-native-memory","2026-08-15"
"hmlyx","dsh-memory","https://github.com/hmlyx/dsh-memory","https://awesome-dsh-plugin.com/p/hmlyx/dsh-memory/",,,"0",,"dsh plugin --profile web add github:hmlyx/dsh-memory","2026-08-31"
"hr98w","dsh-memory","https://github.com/hr98w/dsh-memory","https://awesome-dsh-plugin.com/p/hr98w/dsh-memory/","@hr98w/dsh-memory","0.1.4","23","862","dsh plugin --profile web add @hr98w/dsh-memory","2026-09-03"
